date,county,state,fips,cases,deaths
2020-04-04,Autauga,Alabama,01001,12,0
2020-04-04,Baldwin,Alabama,01003,29,1
2020-04-04,Barbour,Alabama,01005,2,0
2020-04-04,Bibb,Alabama,01007,4,0
2020-04-04,Blount,Alabama,01009,10,0
2020-04-04,Bullock,Alabama,01011,2,0
2020-04-04,Butler,Alabama,01013,1,0
2020-04-04,Calhoun,Alabama,01015,21,0
2020-04-04,Chambers,Alabama,01017,87,6
2020-04-04,Cherokee,Alabama,01019,6,0
2020-04-04,Chilton,Alabama,01021,15,0
2020-04-04,Choctaw,Alabama,01023,4,0
2020-04-04,Clarke,Alabama,01025,7,0
2020-04-04,Clay,Alabama,01027,9,0
2020-04-04,Cleburne,Alabama,01029,7,0
2020-04-04,Coffee,Alabama,01031,7,0
2020-04-04,Colbert,Alabama,01033,5,0
2020-04-04,Conecuh,Alabama,01035,2,0
2020-04-04,Coosa,Alabama,01037,6,0
2020-04-04,Covington,Alabama,01039,4,0
2020-04-04,Crenshaw,Alabama,01041,2,0
2020-04-04,Cullman,Alabama,01043,15,1
2020-04-04,Dale,Alabama,01045,2,0
2020-04-04,Dallas,Alabama,01047,7,0
2020-04-04,DeKalb,Alabama,01049,13,0
2020-04-04,Elmore,Alabama,01051,19,0
2020-04-04,Escambia,Alabama,01053,2,0
2020-04-04,Etowah,Alabama,01055,27,3
2020-04-04,Fayette,Alabama,01057,1,0
2020-04-04,Franklin,Alabama,01059,6,0
2020-04-04,Greene,Alabama,01063,5,0
2020-04-04,Hale,Alabama,01065,3,0
2020-04-04,Henry,Alabama,01067,2,0
2020-04-04,Houston,Alabama,01069,14,1
2020-04-04,Jackson,Alabama,01071,13,1
2020-04-04,Jefferson,Alabama,01073,376,9
2020-04-04,Lamar,Alabama,01075,3,0
2020-04-04,Lauderdale,Alabama,01077,16,2
2020-04-04,Lawrence,Alabama,01079,4,0
2020-04-04,Lee,Alabama,01081,104,3
2020-04-04,Limestone,Alabama,01083,31,0
2020-04-04,Lowndes,Alabama,01085,3,0
2020-04-04,Macon,Alabama,01087,5,0
2020-04-04,Madison,Alabama,01089,126,1
2020-04-04,Marengo,Alabama,01091,8,0
2020-04-04,Marion,Alabama,01093,17,2
2020-04-04,Marshall,Alabama,01095,17,0
2020-04-04,Mobile,Alabama,01097,114,5
2020-04-04,Monroe,Alabama,01099,5,0
2020-04-04,Montgomery,Alabama,01101,63,1
2020-04-04,Morgan,Alabama,01103,24,0
2020-04-04,Perry,Alabama,01105,1,0
2020-04-04,Pickens,Alabama,01107,12,0
2020-04-04,Pike,Alabama,01109,10,0
2020-04-04,Randolph,Alabama,01111,11,1
2020-04-04,Russell,Alabama,01113,6,0
2020-04-04,Shelby,Alabama,01117,127,5
2020-04-04,St. Clair,Alabama,01115,25,0
2020-04-04,Sumter,Alabama,01119,6,0
2020-04-04,Talladega,Alabama,01121,16,0
2020-04-04,Tallapoosa,Alabama,01123,20,1
2020-04-04,Tuscaloosa,Alabama,01125,44,0
2020-04-04,Walker,Alabama,01127,49,0
2020-04-04,Washington,Alabama,01129,5,1
2020-04-04,Wilcox,Alabama,01131,11,0
2020-04-04,Winston,Alabama,01133,3,0
2020-04-04,Anchorage,Alaska,02020,81,2
2020-04-04,Fairbanks North Star Borough,Alaska,02090,46,1
2020-04-04,Juneau City and Borough,Alaska,02110,12,0
2020-04-04,Kenai Peninsula Borough,Alaska,02122,11,1
2020-04-04,Ketchikan Gateway Borough,Alaska,02130,14,0
2020-04-04,Matanuska-Susitna Borough,Alaska,02170,4,0
2020-04-04,Petersburg Borough,Alaska,02195,1,1
2020-04-04,Southeast Fairbanks Census Area,Alaska,02240,1,0
2020-04-04,Yukon-Koyukuk Census Area,Alaska,02290,1,0
2020-04-04,Apache,Arizona,04001,20,0
2020-04-04,Cochise,Arizona,04003,7,0
2020-04-04,Coconino,Arizona,04005,147,10
2020-04-04,Gila,Arizona,04007,3,0
2020-04-04,Graham,Arizona,04009,3,0
2020-04-04,Greenlee,Arizona,04011,1,0
2020-04-04,La Paz,Arizona,04012,2,0
2020-04-04,Maricopa,Arizona,04013,1171,28
2020-04-04,Mohave,Arizona,04015,12,0
2020-04-04,Navajo,Arizona,04017,177,1
2020-04-04,Pima,Arizona,04019,326,12
2020-04-04,Pinal,Arizona,04021,89,0
2020-04-04,Santa Cruz,Arizona,04023,4,0
2020-04-04,Unknown,Arizona,,0,2
2020-04-04,Yavapai,Arizona,04025,43,0
2020-04-04,Yuma,Arizona,04027,14,0
2020-04-04,Arkansas,Arkansas,05001,1,0
2020-04-04,Ashley,Arkansas,05003,4,0
2020-04-04,Baxter,Arkansas,05005,3,0
2020-04-04,Benton,Arkansas,05007,40,0
2020-04-04,Boone,Arkansas,05009,3,0
2020-04-04,Bradley,Arkansas,05011,4,0
2020-04-04,Carroll,Arkansas,05015,1,0
2020-04-04,Chicot,Arkansas,05017,2,0
2020-04-04,Clark,Arkansas,05019,27,0
2020-04-04,Cleburne,Arkansas,05023,65,3
2020-04-04,Cleveland,Arkansas,05025,4,0
2020-04-04,Columbia,Arkansas,05027,3,0
2020-04-04,Conway,Arkansas,05029,3,1
2020-04-04,Craighead,Arkansas,05031,17,0
2020-04-04,Crawford,Arkansas,05033,3,0
2020-04-04,Crittenden,Arkansas,05035,44,0
2020-04-04,Cross,Arkansas,05037,5,0
2020-04-04,Dallas,Arkansas,05039,1,0
2020-04-04,Desha,Arkansas,05041,4,0
2020-04-04,Drew,Arkansas,05043,3,0
2020-04-04,Faulkner,Arkansas,05045,40,1
2020-04-04,Garland,Arkansas,05051,40,0
2020-04-04,Grant,Arkansas,05053,3,0
2020-04-04,Greene,Arkansas,05055,4,0
2020-04-04,Hempstead,Arkansas,05057,3,0
2020-04-04,Hot Spring,Arkansas,05059,5,0
2020-04-04,Howard,Arkansas,05061,4,0
2020-04-04,Independence,Arkansas,05063,4,0
2020-04-04,Jefferson,Arkansas,05069,53,0
2020-04-04,Johnson,Arkansas,05071,7,0
2020-04-04,Lafayette,Arkansas,05073,1,0
2020-04-04,Lawrence,Arkansas,05075,3,1
2020-04-04,Lee,Arkansas,05077,1,0
2020-04-04,Lincoln,Arkansas,05079,6,0
2020-04-04,Lonoke,Arkansas,05085,15,0
2020-04-04,Miller,Arkansas,05091,8,0
2020-04-04,Mississippi,Arkansas,05093,2,0
2020-04-04,Monroe,Arkansas,05095,1,0
2020-04-04,Nevada,Arkansas,05099,1,0
2020-04-04,Newton,Arkansas,05101,1,0
2020-04-04,Ouachita,Arkansas,05103,1,0
2020-04-04,Perry,Arkansas,05105,2,0
2020-04-04,Pike,Arkansas,05109,2,0
2020-04-04,Poinsett,Arkansas,05111,5,0
2020-04-04,Polk,Arkansas,05113,5,0
2020-04-04,Pope,Arkansas,05115,8,0
2020-04-04,Prairie,Arkansas,05117,1,0
2020-04-04,Pulaski,Arkansas,05119,139,6
2020-04-04,Randolph,Arkansas,05121,3,0
2020-04-04,Saline,Arkansas,05125,21,0
2020-04-04,Scott,Arkansas,05127,1,0
2020-04-04,Searcy,Arkansas,05129,5,0
2020-04-04,Sebastian,Arkansas,05131,8,0
2020-04-04,Sevier,Arkansas,05133,3,0
2020-04-04,Sharp,Arkansas,05135,1,0
2020-04-04,St. Francis,Arkansas,05123,3,0
2020-04-04,Stone,Arkansas,05137,5,0
2020-04-04,Union,Arkansas,05139,10,0
2020-04-04,Unknown,Arkansas,,12,1
2020-04-04,Van Buren,Arkansas,05141,20,1
2020-04-04,Washington,Arkansas,05143,25,0
2020-04-04,White,Arkansas,05145,23,0
2020-04-04,Woodruff,Arkansas,05147,1,0
2020-04-04,Alameda,California,06001,464,12
2020-04-04,Alpine,California,06003,1,0
2020-04-04,Amador,California,06005,2,0
2020-04-04,Butte,California,06007,11,0
2020-04-04,Calaveras,California,06009,4,0
2020-04-04,Colusa,California,06011,2,0
2020-04-04,Contra Costa,California,06013,353,5
2020-04-04,Del Norte,California,06015,2,0
2020-04-04,El Dorado,California,06017,22,0
2020-04-04,Fresno,California,06019,103,1
2020-04-04,Glenn,California,06021,2,0
2020-04-04,Humboldt,California,06023,44,0
2020-04-04,Imperial,California,06025,55,0
2020-04-04,Inyo,California,06027,10,0
2020-04-04,Kern,California,06029,205,2
2020-04-04,Kings,California,06031,5,0
2020-04-04,Los Angeles,California,06037,5277,117
2020-04-04,Madera,California,06039,30,2
2020-04-04,Marin,California,06041,137,7
2020-04-04,Mendocino,California,06045,4,0
2020-04-04,Merced,California,06047,16,0
2020-04-04,Mono,California,06051,19,1
2020-04-04,Monterey,California,06053,62,2
2020-04-04,Napa,California,06055,21,2
2020-04-04,Nevada,California,06057,31,1
2020-04-04,Orange,California,06059,786,14
2020-04-04,Placer,California,06061,97,2
2020-04-04,Plumas,California,06063,3,0
2020-04-04,Riverside,California,06065,665,18
2020-04-04,Sacramento,California,06067,411,12
2020-04-04,San Benito,California,06069,23,2
2020-04-04,San Bernardino,California,06071,353,13
2020-04-04,San Diego,California,06073,1209,18
2020-04-04,San Francisco,California,06075,529,8
2020-04-04,San Joaquin,California,06077,191,11
2020-04-04,San Luis Obispo,California,06079,93,1
2020-04-04,San Mateo,California,06081,538,13
2020-04-04,Santa Barbara,California,06083,168,1
2020-04-04,Santa Clara,California,06085,1148,40
2020-04-04,Santa Cruz,California,06087,62,1
2020-04-04,Shasta,California,06089,17,2
